country_name,year,UMAP1,UMAP2,region
Venezuela,1995,1.5741119537391506,3.6736683560917283,Latin America & Caribbean
Venezuela,2005,1.4510584030189357,-0.6484626816203689,Latin America & Caribbean
Venezuela,2015,1.6228661093749843,-0.6323705004146194,Latin America & Caribbean
Venezuela,2025,3.285200074676498,-1.3724057959010696,Latin America & Caribbean
Benin,1975,1.988342836860641,-2.141954688875923,Sub-Saharan Africa
Benin,1985,2.174351171020492,-2.0608110712459182,Sub-Saharan Africa
Benin,1995,1.596540406707748,1.949894697816124,Sub-Saharan Africa
Benin,2005,1.5644445571937404,1.9667474938938523,Sub-Saharan Africa
Benin,2015,1.5599050674476467,1.9844779087612534,Sub-Saharan Africa
Benin,2025,0.8388313058652722,1.709498734624138,Sub-Saharan Africa
Bhutan,1975,-0.44563452863313324,-0.9769454286983108,East Asia & Pacific
Bhutan,1985,-0.47754447126008637,-0.9352543638637161,East Asia & Pacific
Bhutan,1995,-0.4498813595733798,-0.9842334078242874,East Asia & Pacific
Bhutan,2005,-0.5568578686676181,-0.8409707830836868,East Asia & Pacific
Bhutan,2015,-0.9014519896469272,2.3236638022968674,East Asia & Pacific
Bhutan,2025,-1.1678669896087803,1.939842493684044,East Asia & Pacific
Burkina Faso,1975,1.4818484637775264,-1.5011399076869583,Sub-Saharan Africa
Burkina Faso,1985,1.5074789080657802,-1.7253344343593215,Sub-Saharan Africa
Burkina Faso,1995,2.159802869323715,1.2393351434180642,Sub-Saharan Africa
Burkina Faso,2005,1.9592958245315395,1.554383726269951,Sub-Saharan Africa
Burkina Faso,2015,1.83376361465834,1.713767202050438,Sub-Saharan Africa
Burkina Faso,2025,1.645580843452438,-1.6422536657741165,Sub-Saharan Africa
Cambodia,1975,3.477291539672836,-3.305392532198677,East Asia & Pacific
Cambodia,1985,4.089630321029648,-2.601316480486641,East Asia & Pacific
Cambodia,1995,2.107860044006332,-0.9015376852443313,East Asia & Pacific
Cambodia,2005,2.0741375241317592,-0.8309493349483108,East Asia & Pacific
Cambodia,2015,2.1265533719100795,-0.923880605547676,East Asia & Pacific
Cambodia,2025,2.216624930862411,-1.0093763159206008,East Asia & Pacific
Indonesia,1975,2.153955057624801,-2.1901386068751907,East Asia & Pacific
Indonesia,1985,2.2357794795074306,-2.1854379461696243,East Asia & Pacific
Indonesia,1995,2.2371804270782314,-2.1055314825465774,East Asia & Pacific
Indonesia,2005,1.3840899322070919,2.8529412461826706,East Asia & Pacific
Indonesia,2015,1.3553182635345302,2.8847819282123948,East Asia & Pacific
Indonesia,2025,1.5159948620834194,2.830915422589531,East Asia & Pacific
Mozambique,1975,2.858503058914169,-3.458193569033394,Sub-Saharan Africa
Mozambique,1985,2.9355165514983974,-3.200928478091011,Sub-Saharan Africa
Mozambique,1995,0.1800176057853543,0.781445504576912,Sub-Saharan Africa
Mozambique,2005,0.2177409682311856,1.018852130920639,Sub-Saharan Africa
