"country_name","PC1","PC2","PC3","PC4","PC5","PC1_pct","PC2_pct","PC3_pct","PC4_pct","PC5_pct"
"Azerbaijan",-14.0747727324982,-3.25017557375057,2.66256359194969,-0.372951797181205,3.04386615415603,7.8,17.3,86,52,93.3
"Belarus",-13.1096203894295,-4.69512816617455,6.86999481100835,0.857321527407027,2.34702120215121,9.5,8.9,100,67,86
"Cameroon",-7.77157040111924,4.43235072343602,1.85738070398943,-2.65834289577619,-2.01009430417375,22.3,91.6,76.5,7.3,20.7
"Chad",-11.7336132242311,5.83899290172611,1.68168850708056,-0.847107885276174,-0.709185933199457,11.2,96.6,74.9,46.4,39.1
"China",-14.6096093192373,-8.0776527012492,3.54973959510459,-0.193718601130552,-3.23217147219731,7.3,2.8,90.5,55.9,7.3
"Democratic Republic of the Congo",-6.5156031012654,4.79584269616842,-0.1380359345282,0.849822242096606,-0.256597200936466,28.5,94.4,45.8,66.5,44.1
"Republic of the Congo",-8.89407716236591,1.53779708904964,-0.50990476326046,-1.63884944541174,-1.4466651174905,17.9,62.6,39.7,26.3,27.9
"Djibouti",-8.41335448206596,-1.40481820489049,-1.62419317648518,-1.30120118538491,-0.989691910901759,19.6,30.2,29.1,34.1,34.1
"Dominican Republic",4.80149860031145,1.41856651607193,-3.45732452232677,-2.90715037793488,0.550637747300169,68.2,58.7,11.2,5.6,62
"Eritrea",-22.8336517114564,-5.6671403153841,-3.13524417155672,1.9686894032683,1.53238001250881,0.6,6.7,12.8,84.4,74.9
"Gabon",-1.26598729672021,1.83938429677974,-0.27277223315766,0.162068549634718,-3.03122257889592,42.5,67,43.6,58.7,8.9
"The Gambia",4.86109232184696,-0.614103402134084,-4.50036993713614,-2.54323650924122,-1.45766429899672,68.7,41.3,6.7,10.1,27.4
"Georgia",0.379653735249138,3.35052467241139,5.43164871538993,3.03564593646786,1.60036200252663,48,82.1,98.3,90.5,78.2
"Guinea-Bissau",-5.87875281324384,3.90296449701853,-3.24266421117582,0.430017223977697,1.54404686358983,31.8,87.2,12.3,62,76
"Jamaica",9.91477621986703,-1.15163096101702,-2.01863404567893,-0.56958297318639,2.28471984160764,84.4,33.5,22.9,48,85.5
"Kazakhstan",-6.08180241868191,-3.53617534522085,2.00794291929118,-1.29024547476799,0.23644416007913,30.2,15.6,78.2,35.2,51.4
"Kyrgyzstan",-4.33716710445399,-1.13864819853402,-1.66433042334857,-1.41242245405173,1.66441856073426,34.6,34.1,27.9,31.8,79.3
"Laos",-9.56588067456298,-6.89686465665064,-2.45033097321194,-1.88768450703023,4.66187937054613,16.8,6.1,19.6,20.7,98.9
"Libya",-6.59336385550426,5.09113242430443,-2.58990878599182,1.42637042674931,1.36600186843071,27.9,95.5,19,76,73.7
"Madagascar",-3.72631603590092,7.0737414764219,-0.348528094204795,-1.60866260703274,0.171080173311535,36.3,99.4,40.8,27.4,50.3
"Moldova",4.71907128283047,0.47224380136668,2.26136178481604,0.456151485538371,1.11549650303073,67.6,52,82.7,63.7,68.7
"Namibia",4.57823638768039,0.231818279705883,-1.64311998058181,-2.53001262840064,-0.999525253255902,66.5,48,28.5,11.2,33.5
"Palestine/West Bank",-8.24069636786274,2.05687559758529,-2.09038421819688,7.89645488684046,0.135753280288198,20.1,70.4,21.8,99.4,48.6
"Rwanda",-8.59589127445839,-5.41584139414438,-0.289539911447435,-0.512298714537251,0.164676814089862,18.4,7.3,42.5,50.3,49.7
"Somalia",-8.117886325108,6.16204084759135,-4.84022346441968,4.06098121192779,-1.42512048630882,21.2,97.8,3.4,94.4,29.1
